metric,percentile,percentile_value,Method,model,NDCG,HR,diversity,DivRatio,ORRatio,category,NDCG_head@5,HR_head@5,NDCG_tail@5,HR_tail@5,Count_Head,Count_Tail,topk,GiniIndex,num_recommended_unique,total_recommendations,num_total_items,coverage
avg_token_logprob_margin,p0,0,Min_avg_token_logprob_margin,final,0.031863159917444185,0.042,619,0.1238,0.0644,Goodreads,0.05005063271150955,0.06363636363636363,0.009634026502475409,0.015555555555555555,550,450,5,0.9866521241705437,619,5000,13111,0.047212264510716195
avg_token_logprob_margin,p25,25,P25_avg_token_logprob_margin,final,0.03158173717269334,0.041,654,0.1308,0.063,Goodreads,0.05091336054589544,0.06363636363636363,0.00795419749433522,0.013333333333333334,550,450,5,0.9858240256273358,654,5000,13111,0.04988177865914118
avg_token_logprob_margin,p50,50,P50_avg_token_logprob_margin,final,0.03212501942458709,0.041,736,0.1472,0.0578,Goodreads,0.04870855908813302,0.05818181818181818,0.011856248724697632,0.02,550,450,5,0.9830153916558615,736,5000,13111,0.05613606894973686
avg_token_logprob_margin,p75,75,P75_avg_token_logprob_margin,final,0.03599821864806005,0.047,693,0.1386,0.0786,Goodreads,0.05500002313577949,0.06909090909090909,0.012773790940847397,0.02,550,450,5,0.9843498741514759,693,5000,13111,0.05285638013881474
avg_token_logprob_margin,p100,100,Max_avg_token_logprob_margin,final,0.03342476622908903,0.044,716,0.1432,0.0694,Goodreads,0.053719328276611356,0.06727272727272728,0.008620301504339524,0.015555555555555555,550,450,5,0.9830884905804286,716,5000,13111,0.05461063229349401
ches_score,p0,0,Min_ches_score,final,0.0371611260451442,0.048,689,0.1378,0.0618,Goodreads,0.06063875238203276,0.07454545454545454,0.008466249411169285,0.015555555555555555,550,450,5,0.9842750667378538,689,5000,13111,0.052551292807566166
ches_score,p25,25,P25_ches_score,final,0.03482940159712958,0.045,763,0.1526,0.054,Goodreads,0.055443799401846613,0.06909090909090909,0.009634026502475409,0.015555555555555555,550,450,5,0.9819615589962627,763,5000,13111,0.05819540843566471
ches_score,p50,50,P50_ches_score,final,0.03270440829703795,0.045,715,0.143,0.0708,Goodreads,0.05123010964674128,0.06545454545454546,0.010061884425178315,0.02,550,450,5,0.9836289832964686,715,5000,13111,0.05453436046068187
ches_score,p75,75,P75_ches_score,final,0.029863159917444187,0.039,671,0.1342,0.0602,Goodreads,0.04835849351501247,0.05818181818181818,0.007257752187082947,0.015555555555555555,550,450,5,0.9854156052169933,671,5000,13111,0.0511783998169476
ches_score,p100,100,Max_ches_score,final,0.02726420780738541,0.035,615,0.123,0.067,Goodreads,0.046732002719528286,0.05818181818181818,0.003470236248099668,0.006666666666666667,550,450,5,0.9867053619098467,615,5000,13111,0.04690717717946762
ln_ches_score,p0,0,Min_ln_ches_score,final,0.03579383647551758,0.045,688,0.1376,0.064,Goodreads,0.05971886792116034,0.07272727272727272,0.006552131375287537,0.011111111111111112,550,450,5,0.9847777286248188,688,5000,13111,0.052475020974754025
ln_ches_score,p25,25,P25_ln_ches_score,final,0.03415518959166436,0.044,708,0.1416,0.0692,Goodreads,0.05528542485142371,0.06909090909090909,0.00832934649640295,0.013333333333333334,550,450,5,0.9842185950728396,708,5000,13111,0.054000457630996875
ln_ches_score,p50,50,P50_ln_ches_score,final,0.03448637254073388,0.045,726,0.1452,0.0684,Goodreads,0.05700238874566911,0.07090909090909091,0.006966797179146377,0.013333333333333334,550,450,5,0.9835181145602929,726,5000,13111,0.055373350621615434
ln_ches_score,p75,75,P75_ln_ches_score,final,0.037255949178158554,0.048,753,0.1506,0.0748,Goodreads,0.058582516466448284,0.07272727272727272,0.011190144714693331,0.017777777777777778,550,450,5,0.9825262451376706,753,5000,13111,0.05743269010754328
ln_ches_score,p100,100,Max_ln_ches_score,final,0.03712269724884007,0.049,751,0.1502,0.0616,Goodreads,0.05960263430772055,0.07454545454545454,0.009647218621319476,0.017777777777777778,550,450,5,0.9823343146975823,751,5000,13111,0.057280146441919
sequence_logprob_margin,p0,0,Min_sequence_logprob_margin,final,0.03236315991744418,0.042,706,0.1412,0.0572,Goodreads,0.05150471781060397,0.06363636363636363,0.008967922492471109,0.015555555555555555,550,450,5,0.9844960414918771,706,5000,13111,0.053847913965372585
sequence_logprob_margin,p25,25,P25_sequence_logprob_margin,final,0.035763666308440314,0.045,729,0.1458,0.0628,Goodreads,0.055198238073454135,0.06727272727272728,0.012010300817867867,0.017777777777777778,550,450,5,0.9839537182518496,729,5000,13111,0.055602166120051866
sequence_logprob_margin,p50,50,P50_sequence_logprob_margin,final,0.03466112604514419,0.047,729,0.1458,0.0778,Goodreads,0.055920892140188444,0.07454545454545454,0.008676967484534535,0.013333333333333334,550,450,5,0.9836974448936008,729,5000,13111,0.055602166120051866
sequence_logprob_margin,p75,75,P75_sequence_logprob_margin,final,0.03148637254073388,0.042,746,0.1492,0.0568,Goodreads,0.050194976115965635,0.06363636363636363,0.008620301504339524,0.015555555555555555,550,450,5,0.9821151094500802,746,5000,13111,0.056898787277858284
sequence_logprob_margin,p100,100,Max_sequence_logprob_margin,final,0.03200415510153988,0.043,724,0.1448,0.0602,Goodreads,0.05386367168106745,0.06909090909090909,0.00528696817100619,0.011111111111111112,550,450,5,0.9835766303104263,724,5000,13111,0.05522080695599115
