metric,percentile,percentile_value,Method,model,NDCG,HR,diversity,DivRatio,ORRatio,category,NDCG_head@5,HR_head@5,NDCG_tail@5,HR_tail@5,Count_Head,Count_Tail,topk,GiniIndex,num_recommended_unique,total_recommendations,num_total_items,coverage
avg_token_logprob_margin,p0,0,Min_avg_token_logprob_margin,p0,0.02253197696837466,0.03,562,0.1124,0.0522,Goodreads,0.03552850981297597,0.043824701195219126,0.009431054301728354,0.01606425702811245,502,498,5,0.9867574098085576,562,5000,13111,0.04286477004042407
avg_token_logprob_margin,p25,25,P25_avg_token_logprob_margin,p25,0.0229188297756092,0.03,579,0.1158,0.0932,Goodreads,0.0381530703016372,0.045816733067729085,0.007562225871862101,0.014056224899598393,502,498,5,0.9865292044847839,579,5000,13111,0.044161391198230496
avg_token_logprob_margin,p50,50,P50_avg_token_logprob_margin,p50,0.029236359140917136,0.039,653,0.1306,0.0912,Goodreads,0.047152637155832414,0.05976095617529881,0.011176175278492496,0.018072289156626505,502,498,5,0.9852282205781405,653,5000,13111,0.04980550682632904
avg_token_logprob_margin,p75,75,P75_avg_token_logprob_margin,p75,0.029375006024770348,0.039,651,0.1302,0.1264,Goodreads,0.04823595140053132,0.061752988047808766,0.01036256711185467,0.01606425702811245,502,498,5,0.9857873236213867,651,5000,13111,0.04965296316070475
avg_token_logprob_margin,p100,100,Max_avg_token_logprob_margin,p100,0.02648815321753581,0.035,616,0.1232,0.0956,Goodreads,0.042137134046657115,0.05179282868525897,0.010713477763280993,0.018072289156626505,502,498,5,0.986223079856609,616,5000,13111,0.046983449012279764
ches_score,p0,0,Min_ches_score,p0,0.02638272315505211,0.034,629,0.1258,0.0682,Goodreads,0.041191914307788104,0.049800796812749,0.011454582675788104,0.018072289156626505,502,498,5,0.9856872549767371,629,5000,13111,0.04797498283883762
ches_score,p50,50,P50_ches_score,p50,0.027670623852227873,0.035,652,0.1304,0.0926,Goodreads,0.04461537497561512,0.053784860557768925,0.010589770310178883,0.01606425702811245,502,498,5,0.9858600869498895,652,5000,13111,0.04972923499351689
ches_score,p100,100,Max_ches_score,p100,0.027305682582843747,0.036,596,0.1192,0.0868,Goodreads,0.04339396622508632,0.053784860557768925,0.011088175778816088,0.018072289156626505,502,498,5,0.9870282968499733,596,5000,13111,0.045458012356036914
ln_ches_score,p0,0,Min_ln_ches_score,p0,0.026849506333682594,0.036,592,0.1184,0.098,Goodreads,0.042397950288831344,0.053784860557768925,0.011176175278492496,0.018072289156626505,502,498,5,0.9869263671726032,592,5000,13111,0.04515292502478835
ln_ches_score,p25,25,P25_ln_ches_score,p25,0.03016703569899053,0.04,606,0.1212,0.0836,Goodreads,0.0481486530920874,0.05976095617529881,0.01204098764410172,0.020080321285140562,502,498,5,0.9868891465181908,606,5000,13111,0.04622073068415834
ln_ches_score,p50,50,P50_ln_ches_score,p50,0.028811619036323576,0.039,671,0.1342,0.1116,Goodreads,0.04465079840351551,0.055776892430278883,0.012845217344897155,0.02208835341365462,502,498,5,0.9846929448554649,671,5000,13111,0.0511783998169476
ln_ches_score,p75,75,P75_ln_ches_score,p75,0.029619082971107265,0.039,637,0.1274,0.1166,Goodreads,0.04763884621228045,0.05976095617529881,0.011454582675788104,0.018072289156626505,502,498,5,0.9855055144535123,637,5000,13111,0.048585157501334755
ln_ches_score,p100,100,Max_ln_ches_score,p100,0.029888659608531935,0.039,640,0.128,0.1192,Goodreads,0.049768972590620304,0.061752988047808766,0.009848665397671768,0.01606425702811245,502,498,5,0.986237479978644,640,5000,13111,0.04881397299977119
sequence_logprob_margin,p0,0,Min_sequence_logprob_margin,p0,0.02297037065672981,0.029,643,0.1286,0.0624,Goodreads,0.03666262025506085,0.04183266932270916,0.00916814314997844,0.01606425702811245,502,498,5,0.9848671497216077,643,5000,13111,0.04904278849820761
sequence_logprob_margin,p25,25,P25_sequence_logprob_margin,p25,0.027926546905890953,0.036,621,0.1242,0.0986,Goodreads,0.04512518185542205,0.055776892430278883,0.010589770310178883,0.01606425702811245,502,498,5,0.9858931279078637,621,5000,13111,0.04736480817634048
sequence_logprob_margin,p50,50,P50_sequence_logprob_margin,p50,0.02804975952918066,0.038,646,0.1292,0.0948,Goodreads,0.045247903591766385,0.05776892430278884,0.010713477763280991,0.018072289156626505,502,498,5,0.9847717794218596,646,5000,13111,0.04927160399664404
sequence_logprob_margin,p75,75,P75_sequence_logprob_margin,p75,0.03191111264532744,0.043,680,0.136,0.1436,Goodreads,0.05234273688189557,0.06772908366533864,0.0113153789771403,0.018072289156626505,502,498,5,0.9849315841659675,680,5000,13111,0.051864846312256886
sequence_logprob_margin,p100,100,Max_sequence_logprob_margin,p100,0.026662906721946114,0.037,640,0.128,0.1236,Goodreads,0.04351668796143064,0.05776892430278884,0.009673753745598262,0.01606425702811245,502,498,5,0.9856534818091679,640,5000,13111,0.04881397299977119
